classId,lec_dis,status,total_spots,enrolled_spots,waitlist_status,days,start_time,end_time,location,units,instructors
MATH0290G,Sem 1,Open,10,0,No Waitlist,TW,1,2:50,Mathematical Sciences 6627,4.0,"Tao, T.C.; Bedrossian, J.P.; Bonk, M.; Visan, M.; Killip, R."
MATH0290I,Sem 1,Open,10,0,No Waitlist,M,4,5:50,Mathematical Sciences 7608,4.0,"Popa, S."
MATH0290J,Sem 1,Open,10,0,No Waitlist,MWF,4,5:50,Mathematical Sciences 5117,4.0,"Porter, M.A."
MATH0290J,Sem 2,Open,10,0,No Waitlist,T,4,4:50,Mathematical Sciences 5117,4.0,"Ryu, E.K."
MATH0290J,Sem 3,Open,30,0,No Waitlist,MF,1,1:50,Mathematical Sciences 5137,4.0,No instructors
MATH0290K,Sem 1,Open,10,0,No Waitlist,MM,4,5:50,"Mathematical Sciences 5203, Mathematical Sciences 5203",4.0,"Biskup, M."
MATH0290M,Sem 1,Closed by Dept Mathematics,0,0,No Waitlist,WW,1,1:50,"Mathematical Sciences 5147, Mathematical Sciences 5137",4.0,"Rouquier, R.A."
MATH0290M,Sem 2,Closed by Dept Mathematics,0,0,No Waitlist,FF,2,2:50,"Mathematical Sciences 5118, Mathematical Sciences 5118",4.0,"Rouquier, R.A."
MATH0290M,Sem 3,Closed by Dept Mathematics,0,0,No Waitlist,FF,2,2:50,"Mathematical Sciences 5127, Mathematical Sciences 5127",4.0,"Rouquier, R.A."
MATH0290N,Sem 1,Open,10,0,No Waitlist,WM,2,2:50,"Mathematical Sciences 5147, Mathematical Sciences 5147",4.0,"Galashin, P."
MATH0296B,Sem 1,Open,10,0,No Waitlist,M,3,4:50,Mathematical Sciences 6627,1.0,"Sharifi, R.T."
MATH0296D,Sem 1,Open,10,0,No Waitlist,F,2,3:30,Mathematical Sciences 6627,1.0,"Neeman, I."
MATH0296F,Sem 1,Open,10,0,No Waitlist,F,2,2:50,Mathematical Sciences 5147,1.0,The Staff
MATH0296G,Sem 2,Open,10,0,No Waitlist,F,4,6:50,Mathematical Sciences 6221,1.0,"Chernikov, A."
MATH0296I,Sem 1,Open,10,0,No Waitlist,W,4,5:30,Mathematical Sciences 6627,1.0,"Popa, S."
MATH0296J,Sem 1,Open,10,0,No Waitlist,W,4,5:50,Mathematical Sciences 6229,1.0,"Porter, M.A."
